Number,Type,Polymer,Dispersion,Polar,Hydrogen Bonding,Interaction Radius
199,Based on Solvent Range Solubility Data - Not too Reliable,ETHCEL N22?,22.7,0.5,16.5,20.1
200,Based on Solvent Range Solubility Data - Not too Reliable,CHLORINATED RUBBER,17.9,6.3,5.1,7.6
201,Based on Solvent Range Solubility Data - Not too Reliable,DAMMAR GUM,18.4,4.2,7.8,8.3
202,Based on Solvent Range Solubility Data - Not too Reliable,VERSAMID 100?,18.8,3,9.2,7.8
203,Based on Solvent Range Solubility Data - Not too Reliable,PS,18.5,4.5,2.9,5.3
204,Based on Solvent Range Solubility Data - Not too Reliable,PVAC,17.6,2.2,4,4.1
205,Based on Solvent Range Solubility Data - Not too Reliable,PVC,17.6,7.8,3.4,8.2
206,Based on Solvent Range Solubility Data - Not too Reliable,PHENOLICS,19.8,7.2,10.8,12.8
207,Based on Solvent Range Solubility Data - Not too Reliable,BUNA N BUTADIENE/ACRYLONITRILE,17.8,3.2,3.4,3.7
208,Based on Solvent Range Solubility Data - Not too Reliable,PMMA,18.1,10.5,5.1,9.5
209,Based on Solvent Range Solubility Data - Not too Reliable,PEO 4000 ? HEATED SAMPLES,21.5,10.9,13.1,15.9
210,Based on Solvent Range Solubility Data - Not too Reliable,POLYETHYLENESULFIDE (GOOD),17.8,3.8,2.2,4.1
211,Based on Solvent Range Solubility Data - Not too Reliable,PC ,18.1,5.9,6.9,5.5
212,Based on Solvent Range Solubility Data - Not too Reliable,PLIOLITE P1230,18.1,4.7,3.7,3.9
213,Based on Solvent Range Solubility Data - Not too Reliable,MYLAR PET,18,6.2,6.2,5
214,Based on Solvent Range Solubility Data - Not too Reliable,VCVA COPOLY,17.3,8.7,6.1,7.8
215,Based on Solvent Range Solubility Data - Not too Reliable,PUR,17.9,6.9,3.7,2.7
216,Based on Solvent Range Solubility Data - Not too Reliable,SAN,16.6,9.8,7.6,4.8
217,Based on Solvent Range Solubility Data - Not too Reliable,VINSOL ROSIN,17.4,10,13,10.5
218,Based on Solvent Range Solubility Data - Not too Reliable,EPON 1001,17,9.6,7.8,7.1
219,Based on Solvent Range Solubility Data - Not too Reliable,SHELLAC,19.7,10.1,15.1,10.7
220,Based on Solvent Range Solubility Data - Not too Reliable,POLYMETHACRYLONITRILE,17.2,14.4,7.6,3.8
221,Based on Solvent Range Solubility Data - Not too Reliable,CELLULOSE ACETATE,18.3,16.5,11.9,8.8
222,Based on Solvent Range Solubility Data - Not too Reliable,CELLULOSE NITRATE,16.9,13.5,10.3,9.9
