Solvent,Temperature (°C),Solubility (%),Polymer
"1,1-dimethoxyethane",90,32.9336157,PS
"1,1-dimethoxyethane",85,30.24935469,PS
"1,1-dimethoxyethane",80,27.61230478,PS
"1,1-dimethoxyethane",75,25.03740231,PS
"1,1-dimethoxyethane",70,22.5384616,PS
"1,1-dimethoxyethane",65,20.13133333,PS
"1,1-dimethoxyethane",60,17.83071131,PS
"1,1-dimethoxyethane",55,15.6516247,PS
"1,1-dimethoxyethane",50,13.60756986,PS
"1,1-dimethoxyethane",45,11.71080988,PS
"1,1-dimethoxyethane",40,9.97101223,PS
"1,1-dimethoxyethane",35,8.39522703,PS
"1,1-dimethoxyethane",30,6.98701921,PS
"1,1-dimethoxyethane",25,5.74606218,PS
"1,1-dimethylhydrazine",160,74.28592627,PS
"1,1-dimethylhydrazine",155,71.51008975,PS
