Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
(1E)-1-Propen-1-Ylbenzene,C/C=C/C1=CC=CC=C1,637-50-3,5.791,0.9669,0.7262919523166973,low-fidelity RED
Cis-1-Propenylbenzene,C/C=C\C1=CC=CC=C1,766-90-5,5.791,0.9669,0.7262919523166973,low-fidelity RED
15-Kaurene,C/C4=C/[C]13C[C@@H]4CC[C@@H]3[C]2(C)CCC[C](C)(C)[C@@H]2CC1,511-85-3,5.564,1.382,0.608789783094296,low-fidelity RED
α-Humulene,C\1=C/C(C)(C)C/C=C(/CC/C=C(/C/1)C)C,6753-98-6,5.631,1.39,0.9357483636106445,low-fidelity RED
Cyclododecene,C\1=C/CCCCCCCCCC/1,1486-75-5,5.253,0.9285,0.8295330011518522,low-fidelity RED
Terpinolene,C\C(C)=C1/CCC(C)=CC1,586-62-9,6.456,1.193,0.928035559663529,low-fidelity RED
"(E,E)-2,6-Allo-Ocimene",C\C=C(/C)\C=C\C=C(C)C,3016-19-1,5.96,1.118,0.9698582370635404,low-fidelity RED
"2,3-Dihydrofarnesene",C\C=C(/C)\CC\C=C(/C)\CCC=C(C)C,7681-88-1,6.549,1.07,0.9463746615373846,low-fidelity RED
"1,1-Diphenyl-1-Propene",C\C=C(C2=CC=CC=C2)\C1=CC=CC=C1,778-66-5,6.314,0.83,0.5500000000000003,low-fidelity RED
Rhubarb Pyran,C\C=C/1\CC2CC1C3C2OCCC3,93939-86-7,6.319,1.265,0.9737171047075222,low-fidelity RED
Dimethyl Benzyl Carbinyl Crotonate,C\C=C\C(=O)OC(C)(C)CC1=CC=CC=C1,93762-34-6,7.528,1.263,0.988053642268475,low-fidelity RED
Plum Crotonate,C\C=C\C(=O)OC1CCCC1C2CCCC2,68039-73-6,7.134,1.362,0.959817691022623,low-fidelity RED
Phenyl Acetylene,C#CC1=CC=CC=C1,536-74-3,5.733,1.019,0.8831760866327849,high-fidelity RED
"2,3-Dichloro-1,3-Butadiene",C=C(C(=C)Cl)Cl,1653-19-6,5.272,0.8718,0.8905756565278428,high-fidelity RED
p-Isopropenylstyrene,C=C(C)C1=CC=C(C=C)C=C1,16262-48-9,6.485,1.125,0.8200609733428357,low-fidelity RED
Acoradiene,C=C(C)C2CC[C@H](C)C12CCC(C)=CC1,24048-44-0,6.354,1.36,0.7697402159170315,low-fidelity RED
"1,1-Diphenylethene",C=C(C2=CC=CC=C2)C1=CC=CC=C1,530-48-3,6.237,0.9451,0.5255949010407159,low-fidelity RED
16-Kaurene,C=C3/CC24CCC1C(CCCC1(C2CCC3C4)C)(C)C,562-28-7,5.506,1.442,0.7504165509901806,low-fidelity RED
m-Methylstyrene,C=CC1=CC(C)=CC=C1,100-80-1,6.243,0.9931,0.6224949798994367,low-fidelity RED
m-Divinylbenzene,C=CC1=CC(C=C)=CC=C1,108-57-6,6.266,1.027,0.6368869601428493,low-fidelity RED
m-Chlorostyrene,C=CC1=CC(Cl)=CC=C1,2039-85-2,5.89,1.11,0.796084166404533,low-fidelity RED
p-Methylstyrene,C=CC1=CC=C(C)C=C1,622-97-9,5.957,0.9261,0.8518362518700409,low-fidelity RED
Styrene,C=CC1=CC=CC=C1,100-42-5,5.9,0.8996,0.5900211860602975,high-fidelity RED
2-Propenylbenzene,C=CCC1=CC=CC=C1,300-57-2,6.06,0.9502,0.7945124291035344,low-fidelity RED
Trans-Stilbene,C1(/C=C/C2=CC=CC=C2)=CC=CC=C1,103-30-0,5.751,0.8501,0.6846531968814576,low-fidelity RED
Tetraphenylethylene,C1(\C(C3=CC=CC=C3)=C(C4=CC=CC=C4)/C2=CC=CC=C2)=CC=CC=C1,632-51-9,6.318,0.7731,0.4937104414532885,low-fidelity RED
Triphenylethylene,C1(\C(C3=CC=CC=C3)=C\C2=CC=CC=C2)=CC=CC=C1,58-72-0,6.345,0.9478,0.5706356105256668,low-fidelity RED
Cis-Stilbene,C1(\C=C/C2=CC=CC=C2)=CC=CC=C1,645-49-8,5.751,0.8501,0.6846531968814576,low-fidelity RED
"1,4-Diphenyl-1,3-Butadiene",C1(\C=C\C=C\C2=CC=CC=C2)=CC=CC=C1,886-65-7,5.31,1.008,0.7386643351347079,low-fidelity RED
"Benzene, 2-Ethenyl-1,3,5-Timethyl-",C1(=C(C(=CC(=C1)C)C)C=C)C,769-25-5,6.088,1.019,0.5249999999999989,low-fidelity RED
"2,5-Dimethylstyrene",C1(=C(C=C)C=C(C)C=C1)C,2039-89-6,5.798,1.106,0.8280247580839593,low-fidelity RED
"1,2,3,4-Tetraethylbenzene",C1(=C(CC)C=CC(=C1CC)CC)CC,642-32-0,6.727,0.9977,0.7318640584152217,low-fidelity RED
Methylcyclopentadiene Dimer,C1(=C\C2CC/1C3C=C(/CC23)C)C,26472-00-4,6.345,1.058,0.7356969484781078,low-fidelity RED
1-Methyl-4-(1-Methylethenyl)Benzene,C1(=CC=C(C=C1)C(=C)C)C,1195-32-0,6.058,0.9678,0.7929375763576851,low-fidelity RED
1-Methyl-7-Isopropylnaphthalene,C1(=CC=CC2=C1C=C(C=C2)C(C)C)C,490-65-3,6.626,1.206,0.35794552658190876,low-fidelity RED
1-Tert-Butylnaphthalene,C1(=CC=CC2=C1C=CC=C2)C(C)(C)C,17085-91-5,6.767,0.9055,0.5315072906367322,low-fidelity RED
1-Isopropylnaphthalene,C1(=CC=CC2=C1C=CC=C2)C(C)C,6158-45-8,7.064,1.085,0.678232998312527,low-fidelity RED
